'SPINK1','TGFBR2','FGFR2','MLH1','BCL2','VHL','EGFR','KDR','HAVCR2','CTLA4','CDKN2A','KRAS','TGFB1','ITGA2','CMPK1','APC','ACTR2','ERBB2','PDCD1','PFN1','GPC3','TACSTD2','CDH17','MYC','CCND1','TP53','COPS5','CEACAM5'
10.118,10.901,9.6305,9.0343,6.0992,9.4578,8.8141,8.1859,6.883,5.0596,5.2155,8.865,10.31,9.1763,12.141,7.7099,12.042,12.164,4.7382,13.879,4.5163,7.5211,13.677,14.369,12.101,9.599,10.75,16.076
12.747,10.981,6.3047,8.447,4.9198,9.4978,7.7195,7.1545,6.4988,4.1094,6.5746,8.8943,10.78,9.1134,10.255,6.3629,10.767,13.086,4.1094,15.014,3.6303,7.8164,13.321,11.881,11.222,12.059,10.146,16.931
11.559,11.86,9.6857,9.9992,7.05,10.271,8.9714,8.5826,7.146,4.0844,5.8393,11.138,9.7055,10.338,12.642,8.5479,13.066,11.426,3.5413,14.213,11.815,3.4439,13.281,10.844,14.141,11.7,10.382,15.496
11.22,12.55,9.3445,9.5064,6.1671,9.8763,9.4808,8.1698,5.7775,2.5754,4.2797,10.461,8.6256,12.02,12.62,8.7256,12.591,12.545,2.3928,13.068,6.4964,11.97,13.624,13.282,11.888,8.0005,10.703,16.357
10.706,10.755,10.272,6.8563,5.8325,9.9742,8.3242,7.5786,8.1923,3.8593,3.6534,9.3732,10.363,10.092,11.539,7.8858,12.041,12.333,5.7573,14.891,7.6635,4.5361,13.797,12.258,11.376,11.163,10.947,16.086
9.7568,9.9429,5.8528,6.9483,8.9428,9.6469,8.7091,8.4631,9.0827,7.1198,4.5405,9.5601,11.843,8.7769,11.82,8.6978,12.318,11.858,7.949,14.895,4.3954,2.7154,12.566,12.623,12.128,11.512,10.578,10.244
10.273,11.753,8.4337,9.2122,8.4433,9.8298,8.8041,7.9014,7.983,6.1877,6.9621,9.4979,9.612,9.9508,12.594,8.2444,12.308,12.349,5.8044,13.761,8.8436,8.6847,13.914,13.571,12.217,9.4492,10.938,16.445
11.863,10.686,8.728,9.0263,6.3646,9.8357,9.2296,7.501,5.4049,4.4823,7.308,9.0628,8.7902,9.9723,11.278,7.8235,11.795,12.031,4.986,14.849,4.5659,6.7516,13.049,12.771,12.029,12.465,9.8314,15.866
12.192,12.679,8.7262,9.0992,6.1582,9.87,8.7262,7.7752,6.2034,4.1728,4.8206,10.093,9.5098,11.531,11.226,8.4639,12.074,12.444,3.3343,13.82,5.6059,8.5538,14.376,12.509,12.876,12.2,9.8874,17.58
11.91,9.9427,7.1296,8.7042,6.4978,8.4898,8.5434,6.9089,6.2755,4.1604,6.7315,9.1089,9.6606,9.2236,11.154,6.8848,11.717,12.272,4.5753,14.508,4.4498,7.7315,12.985,12.726,11.899,11.513,10.921,16.112
11.054,11.33,6.7927,8.7644,6.7178,9.5,8.9057,8.0097,6.9316,5.16,7.8852,9.8353,10.093,10.65,10.793,8.225,11.763,12.439,4.9667,14.949,4.2432,9.557,13.556,12.611,12.55,8.8924,10.128,16.066
11.214,11.435,8.562,9.0956,7.7471,10.173,8.5186,7.7712,7.2932,5.5141,5.1221,10.121,9.399,10.794,12.89,8.9339,12.674,12.712,4.9066,13.514,5.1221,6.7936,12.95,13.041,12.343,10.565,10.598,15.44
12.38,11.12,7.9085,9.5027,7.4223,9.6571,8.719,8.5151,7.7581,5.9498,5.1974,9.7619,10.288,10.758,12.096,8.326,12.613,11.897,6.1776,14.372,6.5677,9.2157,14.028,11.815,11.678,11.213,10.145,16.665
11.506,11.466,7.2335,8.9864,6.9262,9.8121,8.7962,7.9141,5.9501,4.7427,5.1301,9.5417,8.8219,9.8545,11.768,9.091,12.362,11.931,4.7427,13.759,7.9325,10.573,12.693,13.374,12.364,11.683,10.539,16.623
12.859,11.322,6.3194,9.5865,7.0129,9.9337,8.2182,8.3108,6.6691,4.7701,5.5206,10.692,8.753,10.854,12.86,9.1617,12.65,10.785,4.6494,14.038,9.5885,8.0256,13.259,11.591,11.342,11.799,10.326,16.96
10.653,12.007,9.3746,8.7042,7.2535,10.031,9.397,8.6969,7.8253,3.5178,6.9215,9.3401,11.555,10.047,12.107,7.5231,12.552,12.627,4.7054,13.587,5.7908,8.2438,14.871,13.173,13.263,10.925,10.324,16.571
11.05,11.696,5.5765,8.8084,5.692,8.9543,9.6687,7.9103,7.7125,6.2203,7.5913,8.9103,10.48,8.5383,13.229,7.1713,11.737,11.984,4.8496,14.225,4.3841,13.5,12.113,12.803,11.562,11.275,11.429,16.077
10.104,10.89,8.229,6.4026,7.7791,9.3526,8.8277,6.8673,8.1165,5.7986,10.341,9.0007,10.936,9.5998,9.3737,6.2886,9.9249,12.581,7.1868,15.836,7.881,5.6215,11.324,12.499,12.294,11.395,9.3454,14.092
7.7344,10.317,8.1271,6.944,7.4971,10.498,8.893,8.9412,8.65,5.4054,4.1826,10.135,10.714,11.012,12.57,8.9382,12.575,11.509,5.2225,14.349,7.3353,4.8709,13.153,11.236,11.519,11.213,10.241,16.055
9.7661,10.939,9.4328,8.6993,7.8077,10.227,10.046,8.1109,6.8045,5.3191,7.2355,10.259,8.3009,10.572,12.657,9.6392,13.083,11.51,5.2066,13.342,7.7686,5.2066,13.06,12.119,11.644,11.581,10.493,15.704
12.261,11.034,7.7976,9.3494,6.36,9.0604,8.1147,8.1931,7.3317,4.5192,7.9332,9.6064,10.36,10.382,11.771,7.55,11.707,11.615,2.922,15.105,6.2809,10.539,13.467,12.532,11.055,11.836,10.848,16.27
13.241,11.216,5.0573,9.2208,6.0089,8.5008,7.6229,8.7335,8.6284,6.6479,7.1753,8.9303,10.932,9.9586,11.98,7.7247,11.588,11.985,6.4841,14.457,4.3319,9.962,13.473,13.415,11.306,11.715,11.204,15.503
6.3519,9.9626,7.6857,5.9176,8.2152,9.3921,8.7151,7.2045,9.0227,6.2945,5.3319,10.355,11.646,10.383,10.664,8.4391,11.445,11.661,7.478,14.567,3.6642,4.8906,12.669,10.925,12.86,11.901,9.8789,14.022
9.9196,11.299,6.0573,8.4425,6.2126,9.5801,9.0029,7.4622,7.1779,6.0573,6.7911,8.8889,10.333,9.8345,10.534,7.5425,10.851,12.619,6.0573,14.836,3.8949,7.4309,12.707,12.795,12.384,12.072,9.5754,16.045
3.0528,10.356,9.3932,8.9149,8.2577,9.2484,9.1199,6.7875,8.2645,6.7092,5.0492,8.8885,10.08,9.3487,9.2098,6.9325,10.634,12.807,8.0188,15.614,0,10.069,5.6618,12.344,12.443,12.691,9.286,13.955
8.0627,12.326,10.048,9.6702,6.3423,10.006,8.949,7.0559,5.4558,4.9761,9.8574,11.108,9.2828,11.196,13.18,8.487,12.641,11.293,4.2524,13.715,6.2597,11.714,14.675,11.325,11.516,10.768,10.672,16.857
9.5585,11.599,6.7932,9.2076,5.9237,10.135,9.5791,8.2966,6.0472,5.5165,6.5007,9.7297,10.359,10.201,11.61,8.6189,12.384,11.894,3.8648,14.034,5.5587,6.5847,13.282,12.173,13.127,11.94,9.8868,16.668
8.4252,10.483,8.2094,8.7129,7.0249,8.1956,8.4716,8.0655,5.6076,3.6132,7.3067,9.0166,9.6418,9.6058,10.095,8.4014,9.9552,13.236,4.8626,15.224,7.4294,10.552,12.911,12,11.339,11.459,9.3751,15.821
